X_12,Y_12,C_12,X_13,Y_13,C_13,X_14,Y_14,C_14
1104.21,397.839,0.174756,1422.11,453.742,0.23061,1631.04,527.391,0.316509
1098.35,394.927,0.183724,1419.14,456.59,0.201766,1631,527.285,0.328496
1101.29,397.833,0.184638,1416.17,453.766,0.219595,1631.08,527.295,0.348403
1107.15,394.907,0.189149,1416.19,453.779,0.21533,1631.07,527.254,0.334737
1107.17,394.901,0.196855,1375,453.759,0.194824,1631.05,527.333,0.29918
1107.15,394.94,0.191044,1380.88,453.775,0.181669,1625.17,527.301,0.31302
1110.11,397.853,0.175793,1386.76,453.78,0.183203,1622.23,521.471,0.279685
1104.23,400.775,0.186652,1392.67,453.765,0.184133,1631.07,524.375,0.224356
1127.78,391.984,0.201012,1539.84,527.349,0.466902,1586.85,671.581,0.0619454
1121.88,394.867,0.16314,1539.8,530.368,0.334243,1610.35,945.265,0.347771
1121.86,394.872,0.182191,1539.89,530.416,0.390104,1536.83,960.028,0.207627
1116.01,391.971,0.252812,1539.9,539.116,0.565806,1466.2,945.265,0.304574
1121.86,386.118,0.250541,1539.78,547.857,0.487824,1445.61,859.95,0.0731095
1124.81,394.882,0.179794,1539.72,539.158,0.635574,1374.93,918.765,0.382432
1121.89,394.923,0.151269,1542.66,533.255,0.72133,1436.82,833.45,0.171282
1121.87,391.957,0.173093,1539.78,530.324,0.672259,1330.88,907.096,0.329397
1113.05,389.063,0.183503,1539.7,530.21,0.655129,1339.73,904.125,0.208063
1113.03,389.005,0.19892,1533.97,530.318,0.559457,1425.11,827.558,0.147894
1113.04,391.932,0.177753,1536.89,530.373,0.536061,1442.61,836.354,0.20685
1107.17,389.002,0.170181,1533.97,539.149,0.4627,1436.83,951.109,0.285184
1115.98,391.948,0.178576,1539.89,547.879,0.631951,1486.87,965.882,0.160825
1110.12,391.973,0.169104,1542.71,547.868,0.568674,1542.79,971.745,0.110655
1118.9,388.974,0.224048,1539.87,547.941,0.480187,1595.78,954.126,0.238729
1121.9,394.887,0.157732,1539.88,547.846,0.460023,1648.67,948.256,0.370445
1121.87,389.044,0.177627,1522.16,530.24,0.329823,1589.83,653.964,0.0923509
1124.81,388.995,0.187305,1539.8,530.318,0.550344,1622.24,742.17,0.0934833
1124.82,391.987,0.162761,1539.85,533.183,0.485168,1784.14,906.98,0.163885
1124.83,392.003,0.168189,1539.87,530.307,0.504596,1819.42,889.379,0.132081
1118.92,400.79,0.15179,1522.16,527.221,0.289606,1825.35,883.487,0.0825685
1110.1,400.758,0.170431,1536.89,527.286,0.47116,1816.46,912.889,0.107525
